機構代碼,機構名稱,lat,lng,縣市
4001020019,基督復臨安息日會醫療財團法人臺安診所,25.029112,121.548223,臺北市
4101200019,有全醫療社團法人景美牙醫診所,24.991396,121.541818,臺北市
3701200958,人本家庭牙醫診所,24.9803977,121.5548743,臺北市
3701200985,建宏牙醫診所,24.9915842,121.5412382,臺北市
3701201008,威登牙醫診所,24.9976102,121.5405172,臺北市
3701201062,怡佳牙醫診所,24.9845466,121.5611764,臺北市
3701201080,晶品牙醫診所,25.001259,121.538978,臺北市
3701201115,驊陽牙醫診所,24.9824659,121.5595629,臺北市
3701201124,全家牙醫診所,24.9890873,121.5626315,臺北市
3701202149,敦揚牙醫診所,24.983212,121.56707,臺北市
3701202176,堤岸牙醫診所,24.9981816,121.5743158,臺北市
3701202194,信和牙醫診所,24.9870919,121.5493558,臺北市
3701202265,福祥牙醫診所,25.004214,121.538322,臺北市
3701202274,亞美光聯合牙醫診所,24.9906173,121.5417303,臺北市
3701202309,一心牙醫診所,24.9848135,121.5630973,臺北市
3701190564,天一牙醫診所,25.0454119,121.506842,臺北市
3701190591,孝德牙醫診所,25.0401495,121.501673,臺北市
3701190680,張建昌牙醫診所,25.0231909,121.4954639,臺北市
3701190715,國民牙醫診所,25.023807,121.495254,臺北市
3701190742,惠德牙醫診所,25.019794,121.496992,臺北市
3701190760,宏德牙醫診所,25.0322622,121.5045231,臺北市
3701190840,同仁牙醫診所,25.04076,121.50592,臺北市
3801020694,吉辰中醫診所,25.0238598,121.5436565,臺北市
3801151916,保晟中醫診所,25.0829546,121.5103458,臺北市
3801152002,一春堂中醫診所,25.1089461,121.5315525,臺北市
3801110200,蘇中醫診所,25.084718,121.601404,臺北市
3801111412,惠元中醫診所,25.0691734,121.6194391,臺北市
3801111510,璟榮中醫診所,25.0702579,121.6130969,臺北市
3801194082,旭生中醫診所,25.018826,121.4967609,臺北市
3801194108,聯安中醫診所,25.0263044,121.4933922,臺北市
3801194180,瑞泰中醫診所,25.0397957,121.5020696,臺北市
3801194224,程惠政中醫診所,25.040991,121.507521,臺北市
3801200030,意一堂中醫診所,25.0005041,121.5397821,臺北市
3801200068,陳鐵誠中醫診所,24.9965868,121.5407387,臺北市
3801200076,信願堂中醫診所,24.984461,121.569588,臺北市
3801200138,天光中醫診所,24.995133,121.540963,臺北市
3801200165,黃嘉欣中醫診所,25.001455,121.54221,臺北市
3801200183,乾元中醫診所,24.9981383,121.5445101,臺北市
3801200254,元昌堂中醫診所,24.9890199,121.5620859,臺北市
3801201313,宏福中醫診所,24.987523,121.5526124,臺北市
3801182064,恆美中醫診所,25.0435153,121.5158386,臺北市
3801182108,洪麗妃中醫診所,25.0395273,121.5325726,臺北市
3801182126,張順晶中醫診所,25.027996,121.5214839,臺北市
3801182135,嘉柏中醫診所,25.0440807,121.5166917,臺北市
3801182215,寶生堂中醫診所,25.0240379,121.52432,臺北市
3801182224,長德中醫診所,25.0317294,121.5207383,臺北市
3801151612,士東中醫診所,25.1105798,121.5257469,臺北市
3801151649,普濟中醫診所,25.1021217,121.5220464,臺北市
3801151667,仰德中醫診所,25.1197529,121.5262529,臺北市
3801151694,福華中醫診所,25.1119124,121.5303304,臺北市
3801151818,易和中醫診所,25.1120285,121.5275047,臺北市
3801151827,慶昇中醫診所,25.125151,121.5332186,臺北市
3801151836,漢醫堂中醫診所,25.0903039,121.5264982,臺北市
3801190039,瑞安堂中醫診所,25.0373325,121.5014823,臺北市
3801190048,常懿中醫診所,25.0182149,121.495939,臺北市
3801190379,秋輝中醫診所,25.0353528,121.5019092,臺北市
3801190388,播生中醫診所,25.027502,121.505933,臺北市
3801190440,原億中醫診所,25.0249577,121.5006157,臺北市
3801190511,張碧蓮中醫診所,25.041459,121.50412,臺北市
3801192515,漢方中醫聯合診所,25.028014,121.4942611,臺北市
3801172255,大曜中醫診所,25.040725,121.574533,臺北市
3801172335,川豐中醫診所,25.027506,121.566051,臺北市
3801172344,格康中醫診所,25.0272062,121.5670226,臺北市
3801172362,長安中醫診所,25.042749,121.577609,臺北市
3801180042,幸吉堂中醫診所,25.0272926,121.5107092,臺北市
3801180346,同安中醫診所,25.024784,121.5224742,臺北市
3801111609,憫泰中醫診所,25.0843389,121.5934061,臺北市
3801111663,健崴中醫診所,25.071108,121.609476,臺北市
3801111672,萬安堂中醫診所,25.0769146,121.5791099,臺北市
3801111681,和慶中醫診所,25.0824181,121.5925379,臺北市
3801111716,鴻成中醫診所,25.070401,121.6188786,臺北市
3801111725,聿麒中醫診所,25.0673493,121.6158109,臺北市
3801120028,洪澤安中醫診所,25.0549634,121.5955385,臺北市
3801121169,天滋中醫診所,25.0455731,121.5850355,臺北市
3801150044,存安堂中醫診所,25.0965679,121.495384,臺北市
3801150179,政德中醫診所,25.0975069,121.525035,臺北市
3801150188,信愛中醫診所,25.096062,121.5244682,臺北市
3801100866,滋和堂中醫診所,25.06057,121.5280348,臺北市
3801100884,鐳力中醫診所,25.0629804,121.5251421,臺北市
3801010054,尊生堂中醫診所,25.0509499,121.5711766,臺北市
3801010090,顏長春中醫診所,25.0544229,121.5452782,臺北市
3801010205,振誠中醫診所,25.063405,121.5657426,臺北市
3801010394,桂堂中醫診所,25.0520843,121.5662734,臺北市
3801010518,理想中醫診所,25.0512863,121.5598905,臺北市
3801011748,延吉中醫診所,25.0465758,121.5536314,臺北市
3801011855,維哲中醫診所,25.051421,121.554331,臺北市
3801180480,仁愛中醫診所,25.0340074,121.5075949,臺北市
3801180499,德義堂中醫診所,25.0334549,121.5189527,臺北市
3801180551,吳龍源中醫診所,25.0301717,121.520487,臺北市
3801180604,寧波中醫診所,25.0298897,121.5161246,臺北市
3801181852,儒德中醫診所,25.031502,121.5168754,臺北市
3801181870,和平中醫診所,25.0327985,121.5062598,臺北市
3801181898,順天中醫診所,25.0423552,121.5108162,臺北市
3801170322,陽明中醫診所,25.045217,121.568675,臺北市
3801170644,大同中醫診所,25.0370029,121.578208,臺北市
3801101201,龍江中醫診所,25.0630056,121.5412431,臺北市
3801101210,慎德堂中醫診所,25.0507754,121.5437968,臺北市
3801101274,龍心堂中醫診所,25.0625561,121.5429733,臺北市
3801101283,駿琳大直中醫診所,25.081734,121.548901,臺北市
3801101345,京元中醫診所,25.0633215,121.5329534,臺北市
3801101354,常生中醫診所,25.0486048,121.5322447,臺北市
3801012101,和豐中醫診所,25.0523407,121.5645656,臺北市
3801012236,百漢中醫診所,25.0511856,121.5649611,臺北市
3801020050,金龍堂中醫診所,25.0249849,121.531531,臺北市
3801020078,鴻安中醫診所,25.0217679,121.5509516,臺北市
3801020096,古道堂中醫診所,25.028032,121.53123,臺北市
3801020158,國仁中醫診所,25.030542,121.5550348,臺北市
3801020274,粗淡中醫診所,25.0341198,121.5264883,臺北市
3801020372,深浦中醫診所,25.0355093,121.5329725,臺北市
3801020550,潘淋華中醫診所,25.0228658,121.5261173,臺北市
3801020676,呂文智中醫診所,25.0260151,121.5332513,臺北市
3801101381,元氣堂中醫診所,25.0607092,121.5303924,臺北市
3701200378,德全牙醫診所,24.9920252,121.54017,臺北市
3701200387,協和牙醫診所,24.9924831,121.5403811,臺北市
3701200449,仁泰牙醫診所,24.990616,121.54283,臺北市
3701200539,正勳牙醫診所,24.9975659,121.544896,臺北市
3701200547,台欣牙醫診所,24.982646,121.5654515,臺北市
3701200574,西安牙醫診所,24.9909609,121.5397218,臺北市
3701200636,精英牙醫診所,24.9906959,121.540155,臺北市
3701200645,頌恩牙醫診所,24.9889866,121.5618284,臺北市
3701200716,永健牙醫診所,24.9875987,121.5518096,臺北市
3701200734,詹牙醫診所,25.000852,121.550346,臺北市
3701181305,黃牙醫診所,25.044967,121.51131,臺北市
3701181341,大埔牙醫診所,25.0335909,121.5055942,臺北市
3701181449,九大牙醫診所,25.0428155,121.5302186,臺北市
3701181458,天惠牙醫診所,25.0298741,121.5199943,臺北市
3701181467,長弓牙醫診所,25.0380558,121.526857,臺北市
3701181476,博世牙醫診所,25.0427329,121.5219127,臺北市
3701181485,玉霖牙醫診所,25.0406712,121.5325837,臺北市
3701181583,博安牙醫診所,25.0384393,121.5308337,臺北市
3701181636,瑞石牙醫診所,25.0365965,121.522523,臺北市
3701181690,誠忠牙醫診所,25.0222577,121.5227846,臺北市
3701181725,華恩牙醫診所,25.0273239,121.515159,臺北市
3701181743,口天牙醫診所,25.0390198,121.5249482,臺北市
3701181761,安安牙醫診所,25.0431465,121.5267825,臺北市
3701182848,慈聖牙醫診所,25.0319543,121.5185911,臺北市
3701173232,柏皓牙醫診所,25.0409635,121.5740525,臺北市
3701173278,松信牙醫診所,25.040697,121.574247,臺北市
3701173312,鄒志揚牙醫診所,25.0412604,121.5712537,臺北市
3801022072,宏秀堂中醫診所,25.042161,121.5406043,臺北市
3801022116,維康中醫診所,25.0283187,121.546792,臺北市
3801022134,長春中醫診所,25.033234,121.5429,臺北市
3801022143,天慈中醫診所,25.0243007,121.5287648,臺北市
3801022161,杏福中醫診所,25.0276327,121.5425584,臺北市
3801022269,宜仁堂中醫診所,25.0369109,121.5548019,臺北市
3801022296,問心中醫診所,25.025482,121.536898,臺北市
3801022330,佶安中醫診所,25.0331736,121.5420866,臺北市
3801022367,育群中醫診所,25.0397515,121.5525576,臺北市
3801022410,保源中醫診所,25.0317213,121.5545687,臺北市
3801022438,瑞康中醫診所,25.0286392,121.5401287,臺北市
3801022492,介良中醫診所,25.0422329,121.5354974,臺北市
3801011926,永昌漢方中醫診所,25.052267,121.561809,臺北市
3801012030,仁和堂中醫診所,25.0489396,121.5637294,臺北市
3801012049,仲佑中醫診所,25.0479281,121.5567768,臺北市
3801101416,仁心堂中醫診所,25.0548069,121.5411707,臺北市
3801101498,文化中醫診所,25.0635194,121.5196523,臺北市
3801101505,新生中醫診所,25.056218,121.5432188,臺北市
3801101514,漢坤中醫診所,25.078744,121.546091,臺北市
3801110086,卓家泉安堂老舖中醫診所,25.081651,121.589098,臺北市
3801110102,林德中醫診所,25.0826793,121.5784035,臺北市
3801092832,莊雅惠中醫診所,25.0579742,121.5098279,臺北市
3801092976,順天堂中醫診所,25.0659975,121.5142841,臺北市
3801092994,林志宏中醫診所,25.054287,121.511619,臺北市
3801093008,濟民中醫診所,25.057405,121.513569,臺北市
3801100017,信德中醫診所,25.0484486,121.5422293,臺北市
3701173367,和安牙醫診所,25.021621,121.5557158,臺北市
3801201402,天和堂中醫診所,24.9906173,121.5417303,臺北市
